Project Name,State ,MW Capacity,Fuel Source,Committed Date (Month/Year),,,
Kwinana Waste to Energy Plant,WA,32.000,Biomass/Hydro,Oct-2018,,,
Byron Bay Solar Farm,NSW,5.000,Solar (Fixed),Jun-2019,,,
East Rockingham Resource Recovery Facility,WA,29.000,Biomass/Hydro,Dec-2019,,,
Pilbara generation project,WA,150.000,Solar (SAT),Jan-2020,,,
Wollar Solar Farm,NSW,280.000,Solar (SAT),Feb-2020,,,
Happy Valley Reservoir - Solar,SA,12.000,Solar (Fixed),Aug-2020,,,
Melbourne Water ETP Solar,VIC,19.000,Solar (SAT),Jan-2021,,,
Kidston Pumped Hydro Storage Project,QLD,250.000,Biomass/Hydro,Mar-2021,,,
Mangalore Renewable Energy Project,VIC,5.000,Solar (Fixed),Sep-2021,,,
Goyder South Wind Farm Stage 1B,SA,209.000,Wind,Jan-2022,,,
Clarke Creek Wind Farm Stage 1,QLD,450.000,Wind,Feb-2022,,,
Wambo Wind Farm - Stage 1,QLD,250.000,Wind,Mar-2022,,,
Karara Wind Farm,QLD,103.000,Wind,May-2022,,,
Orange Community Renewable Energy Park,National,5.000,Solar (SAT),Jul-2022,,,
Moorebank Logistics Park ,NSW,60.000,Solar (Fixed),Sep-2022,,,
Stubbo Solar Farm - NSW,NSW,400.000,Solar (SAT),Oct-2022,,,
Walla Walla Solar Farm,NSW,300.000,Solar (Fixed),Dec-2022,,,
Girgarre Solar Farm ,VIC,95.000,Solar (Fixed),Jan-2023,,,
Kathleen Valley Remote Microgrid,WA,46.000,Wind/Solar,Feb-2023,,,
Tropicana Gold Mine Wind Farm,WA,24.000,Wind,Jun-2023,,,
Wangaratta Solar Farm,VIC,40.000,Solar (SAT),Jul-2023,,,
Port Hedland Solar Project,WA,47.000,Solar (Fixed),Aug-2023,,,
Bellevue Gold Hybrid Power Station,WA,43.000,Wind/Solar,Sep-2023,,,
Jundee Power Station,WA,40.000,Wind/Solar,Sep-2023,,,
Glenellen solar project,NSW,260.000,Solar (SAT),Nov-2023,,,
Wambo Wind Farm Stage 2,QLD,254.000,Wind,Dec-2023,,,
Culcairn Solar Farm,NSW,350.000,Solar (SAT),Dec-2023,,,
Forest Glen Solar Farm,NSW,90.000,Solar (SAT),Dec-2023,,,
Uungula Wind Farm,NSW,414.000,Wind,Jan-2024,,,
Munna Creek Solar Farm,QLD,150.000,Solar (SAT),Jan-2024,,,
Mokoan Solar Farm,VIC,51.000,Solar (SAT),Mar-2024,,,
St Ives Mine Renewable project,WA,77.000,Wind/Solar,Mar-2024,,,
Gunsynd Solar Farm,QLD,94.000,Solar (SAT),Mar-2024,,,
Aldoga Solar Farm,QLD,380.000,Solar (SAT),Apr-2024,,,
Nhill Renewable Energy Facility,VIC,6.500,Solar (SAT),May-2024,,,
Arnotts Huntingwood Solar Project,NSW,4.950,Solar (Fixed),May-2024,,,
Quorn Park Solar Farm,NSW,80.000,Solar (SAT),Jun-2024,,,
Golden Plains Wind Farm - Stage 2,VIC,574.000,Wind,Jun-2024,,,
Lotus Creek Wind Farm,QLD,285.000,Wind,Aug-2024,,,
Goorambat Solar Farm,VIC,250.000,Solar (SAT),Aug-2024,,,
Moama Solar Farm,NSW,7.500,Solar (SAT),Aug-2024,,,
Hay Solar Farm,NSW,7.500,Solar (SAT),Sep-2024,,,
Broadsound Solar Farm,QLD,376.000,Solar (SAT),Sep-2024,,,
Boulder Creek Wind Farm,QLD,228.000,Wind,Sep-2024,,,
Total,,6833.450,,,,,
